BFS_NR-3,GEBIET_NAME-3,Year,Cars,BENZIN,Benzin Car,Benzin Car %,DIESEL,Diesel Car,Diesel Car %,hybrid,Hybrid Car,Hybrid Car %,Elektro,Elektro Car,Elektro Car %,Othermotor,Other motor car,Other motor Car %,motorad,Accidents pro 1000
0,Zürich - ganzer Kanton,2002,605772,95,575483.4,5754.834,4.9,29682.828,296.82828,0,0,0,0,0,0,0,0,0,68607,
0,Zürich - ganzer Kanton,2003,609746,93.8,571941.748,5719.41748,6.2,37804.252,378.04252,0,0,0,0,0,0,0,0,0,72180,
0,Zürich - ganzer Kanton,2004,618524,92.4,571516.176,5715.16176,7.5,46389.3,463.893,0,0,0,0,0,0,0.1,618.524,6.18524,75683,
0,Zürich - ganzer Kanton,2005,623008,90.8,565691.264,5656.91264,9,56070.72,560.7072,0,0,0,0,0,0,0.1,623.008,6.23008,78429,
0,Zürich - ganzer Kanton,2006,628057,89.1,559598.787,5595.98787,10.7,67202.099,672.02099,0.1,628.057,6.28057,0,0,0,0.1,628.057,6.28057,80926,
0,Zürich - ganzer Kanton,2007,634982,87.1,553069.322,5530.69322,12.4,78737.768,787.37768,0.3,1904.946,19.04946,0,0,0,0.2,1269.964,12.69964,83599,
0,Zürich - ganzer Kanton,2008,642078,85.2,547050.456,5470.50456,14.2,91175.076,911.75076,0.4,2568.312,25.68312,0,0,0,0.3,1926.234,19.26234,86586,
0,Zürich - ganzer Kanton,2009,648796,83.4,541095.864,5410.95864,15.8,102509.768,1025.09768,0.5,3243.98,32.4398,0,0,0,0.3,1946.388,19.46388,88140,
0,Zürich - ganzer Kanton,2010,657425,81.7,537116.225,5371.16225,17.4,114391.95,1143.9195,0.6,3944.55,39.4455,0,0,0,0.3,1972.275,19.72275,89938,10.2
0,Zürich - ganzer Kanton,2011,668873,79.7,533091.781,5330.91781,19.2,128423.616,1284.23616,0.7,4682.111,46.82111,0,0,0,0.3,2006.619,20.06619,91827,9.5
0,Zürich - ganzer Kanton,2012,681817,77.2,526362.724,5263.62724,21.5,146590.655,1465.90655,0.9,6136.353,61.36353,0.1,681.817,6.81817,0.4,2727.268,27.27268,94215,9.4
0,Zürich - ganzer Kanton,2013,690256,74.8,516311.488,5163.11488,23.7,163590.672,1635.90672,1,6902.56,69.0256,0.1,690.256,6.90256,0.4,2761.024,27.61024,96394,9.4
0,Zürich - ganzer Kanton,2014,695135,72.8,506058.28,5060.5828,25.5,177259.425,1772.59425,1.2,8341.62,83.4162,0.2,1390.27,13.9027,0.4,2780.54,27.8054,98403,9.1
0,Zürich - ganzer Kanton,2015,705814,70.7,499010.498,4990.10498,27.2,191981.408,1919.81408,1.4,9881.396,98.81396,0.3,2117.442,21.17442,0.4,2823.256,28.23256,101385,9.8
0,Zürich - ganzer Kanton,2016,713600,68.9,491670.4,4916.704,28.7,204803.2,2048.032,1.6,11417.6,114.176,0.4,2854.4,28.544,0.4,2854.4,28.544,103588,10.9
0,Zürich - ganzer Kanton,2017,718209,67.4,484072.866,4840.72866,29.8,214026.282,2140.26282,1.9,13645.971,136.45971,0.5,3591.045,35.91045,0.4,2872.836,28.72836,105034,11.2
0,Zürich - ganzer Kanton,2018,720843,66.6,480081.438,4800.81438,30.2,217694.586,2176.94586,2.1,15137.703,151.37703,0.7,5045.901,50.45901,0.4,2883.372,28.83372,106802,10.9
0,Zürich - ganzer Kanton,2019,723462,65.7,475314.534,4753.14534,30.3,219208.986,2192.08986,2.6,18810.012,188.10012,1,7234.62,72.3462,0.4,2893.848,28.93848,107992,10.6
0,Zürich - ganzer Kanton,2020,729057,65,473887.05,4738.8705,29.9,217988.043,2179.88043,3.4,24787.938,247.87938,1.3,9477.741,94.77741,0.4,2916.228,29.16228,114374,9.6
0,Zürich - ganzer Kanton,2021,736669,63.4,467048.146,4670.48146,29.1,214370.679,2143.70679,5.1,37570.119,375.70119,2.1,15470.049,154.70049,0.4,2946.676,29.46676,117064,10.1
0,Zürich - ganzer Kanton,2022,736640,61.9,455980.16,4559.8016,28,206259.2,2062.592,6.8,50091.52,500.9152,3,22099.2,220.992,0.3,2209.92,22.0992,117271,10.4
0,Zürich - ganzer Kanton,2023,740923,60.4,447517.492,4475.17492,26.7,197826.441,1978.26441,8.5,62978.455,629.78455,4.2,31118.766,311.18766,0.3,2222.769,22.22769,118522,
